id_cliente,idade,saldo_atual,divida_atual,renda_anual,valor_em_investimentos,taxa_utilizacao_credito,num_emprestimos,num_contas_bancarias,num_cartoes_credito,dias_atraso_dt_venc,num_pgtos_atrasados,num_consultas_credito,taxa_juros,investe_exterior,pessoa_polit_exp,limite_adicional
5849,35,189.03,3896.76,25894.91,123.64,22.58,9,6,10,36,15,9,25,Não,Não,0
2460,45,98.56,2446.32,50314.74,472.89,32.86,3,8,10,56,17,12,25,Sim,Não,0
10097,31,278.07,771.16,28337.75,122.11,37.81,3,0,1,10,9,2,6,Não,Não,1
10221,22,367.32,646.05,33616.95,48.16,32.84,3,4,5,13,20,2,7,Não,Não,0
5900,55,626.41,138.21,78722.24,182.81,30.97,1,5,3,22,18,3,8,Não,Não,0
1115,38,381.1,565.04,54341.56,253.27,35.49,0,3,4,27,16,7,13,Não,Não,0
2088,38,244.44,1948.98,14606.1,91.24,31.59,7,8,8,16,16,8,28,Não,Não,0
1400,40,363.76,33.85,30276.63,101.56,38.01,2,7,5,7,16,0,14,Não,Não,0
4338,44,115.97,1456.02,25594.48,218.72,23.22,8,7,6,54,23,10,24,Não,Não,0
7497,43,449.76,1496.77,42853.8,134.2,31.56,2,5,7,9,20,3,18,Sim,Não,0
11580,35,292.8,887.8,41424.61,253.32,34.18,0,5,5,7,14,0,12,Não,Não,0
8748,35,209.26,3836.36,40511.73,225.56,38.1,7,10,7,49,19,11,18,Não,Não,0
3785,55,627.34,712.94,171184.27,761.73,29.02,2,1,6,12,2,2,3,Não,Não,0
2743,60,288.02,149.02,17461.36,134.2,27.42,2,5,7,17,17,2,5,Sim,Não,0
1618,27,427.81,1464.16,47388.14,94.52,36.83,3,7,5,20,20,8,16,Não,Não,0
8048,23,268.69,2073.6,19334.96,10000.0,37.13,6,6,3,17,20,8,33,Não,Não,0
2037,33,272.12,909.74,41296.64,134.2,36.21,2,8,3,7,11,3,5,Não,Não,1
12025,46,315.86,1414.75,30598.64,105.14,36.21,2,6,6,18,8,4,10,Sim,Não,0
2010,32,672.31,755.17,102637.61,99.71,29.95,3,3,5,29,9,2,11,Não,Não,0
5258,19,589.64,1405.26,75260.32,134.2,40.11,3,8,9,19,20,9,18,Não,Não,0
5279,27,253.04,603.03,41639.58,257.02,36.71,3,4,3,9,17,0,11,Não,Não,1
5546,25,1142.53,898.45,137065.1,102.33,43.95,1,3,5,12,3,0,6,Sim,Não,1
5862,57,349.73,1084.78,30031.88,33.54,38.11,3,4,5,9,20,0,17,Não,Não,0
994,47,122.23,2543.44,42954.01,330.42,28.48,7,10,7,38,20,10,33,Não,Não,0
8918,40,254.48,262.98,22783.51,138.69,37.05,4,5,4,19,8,6,18,Não,Não,0
5498,36,343.05,2866.5,6192398.59,13.37,36.43,6,9,5,29,18,11,18,Não,Sim,0
4915,45,90.55,746.19,112943.51,1043.42,38.6,1,6,5,16,17,3,12,Não,Não,0
9623,26,507.02,412.4,98178.98,438.72,31.42,1,4,7,14,17,1,12,Não,Não,0
5187,40,550.29,547.05,98218.04,280.79,35.36,3,0,4,14,0,3,7,Não,Não,1
4845,24,294.53,1262.85,24390.04,10000.0,23.78,7,5,6,14,12,7,13,Não,Não,0
12106,40,197.07,4117.61,54363.28,276.05,23.78,7,8,7,58,16,8,22,Não,Não,0
11016,26,268.26,1037.05,23552.81,161.04,40.25,2,1,4,9,6,0,2,Não,Não,0
539,30,288.37,742.33,24998.7,37.89,32.97,7,3,7,26,8,7,15,Não,Não,0
2145,43,246.61,1403.86,28360.71,180.09,30.7,2,5,9,19,14,6,25,Não,Não,0
12390,31,450.83,2848.95,89280.34,84.74,37.18,6,7,10,15,19,8,32,Não,Não,0
386,25,311.73,919.98,26551.21,98.34,29.69,4,3,3,11,13,2,10,Não,Não,1
4376,34,297.72,1453.52,11485.36,28.88,24.19,7,6,6,28,9,10,32,Não,Não,0
1422,42,215.9,1380.18,80151.75,411.25,34.11,6,4,6,16,14,9,18,Não,Não,0
5848,36,187.52,1334.81,39315.72,330.1,35.83,2,8,10,48,17,7,28,Não,Não,0
3653,59,395.8,340.15,49561.0,193.95,30.79,0,0,6,26,6,0,6,Não,Não,0
2020,28,548.24,375.97,77775.39,10000.0,37.11,4,4,6,20,14,4,14,Não,Sim,0
11499,24,888.25,1478.43,110041.84,224.69,35.51,0,3,7,21,10,4,12,Não,Não,0
10139,28,185.2,2778.6,24581.17,10000.0,35.64,7,9,9,48,21,11,23,Não,Não,0
2392,35,384.19,561.74,95343.25,144.32,28.19,6,8,7,13,14,4,18,Não,Sim,0
11018,47,272.12,3232.0,24674.65,83.51,25.07,7,8,5,53,23,10,19,Não,Não,0
9116,43,312.89,1438.9,27531.75,49.84,31.89,4,3,5,2,6,2,2,Não,Não,0
3038,35,238.17,104.41,42422.47,221.66,24.12,3,5,5,12,19,2,16,Não,Não,0
7827,49,295.29,3593.36,23068.62,81.0,31.21,5,7,6,26,18,11,23,Não,Não,0
10320,40,403.33,1346.77,79625.89,273.74,38.39,3,7,4,6,14,0,18,Sim,Não,0
1351,42,266.28,3676.39,73205.61,286.79,27.36,6,10,6,18,20,9,19,Não,Não,0
9177,34,572.72,1057.95,113933.77,134.2,24.19,4,1,4,7,8,3,11,Não,Não,0
1329,22,331.06,2002.37,21248.85,40.06,27.47,2,7,6,39,20,7,31,Sim,Não,0
1209,38,268.46,1457.54,26525.52,100.88,26.97,4,7,9,47,19,10,32,Não,Sim,0
3614,24,390.05,3523.03,76532.57,233.05,29.76,5,7,7,25,13,11,28,Não,Sim,0
1023,30,288.04,2424.49,13274.96,19.77,26.28,7,9,10,15,23,12,24,Não,Não,0
11302,19,230.74,3776.3,73415.96,121.24,27.73,9,9,5,44,17,12,20,Sim,Não,0
11421,23,275.54,1685.88,13700.12,60.75,38.44,2,6,10,20,17,6,23,Não,Não,0
8825,48,223.42,3145.39,15588.13,115.89,33.89,6,6,10,28,17,6,19,Não,Sim,0
2920,44,50.9,4259.91,42380.3,328.06,22.78,8,8,9,27,22,6,27,Não,Não,0
8205,50,131.6,288.22,76323.72,518.34,34.29,4,7,3,29,14,8,7,Sim,Não,0
8412,35,928.43,678.54,113838.48,60.21,30.94,3,3,3,29,15,4,6,Sim,Não,0
1693,26,310.81,1598.33,54101.88,168.9,36.55,4,8,7,16,10,7,14,Não,Não,0
8224,21,284.43,1773.7,24892.99,107.39,32.39,5,3,3,20,14,4,32,Não,Não,0
12262,36,1018.57,1242.39,166674.98,383.25,40.08,2,2,5,9,4,1,11,Não,Não,1
1262,28,274.75,1288.52,39725.22,218.76,38.52,1,6,7,20,20,2,9,Não,Não,1
10732,61,445.23,1306.64,50915.52,141.26,28.8,3,5,4,13,8,4,6,Sim,Não,1
6389,42,264.48,2582.6,41914.43,204.67,40.05,5,8,9,57,21,6,26,Não,Não,0
10829,34,417.36,1465.87,39316.6,101.16,24.47,0,6,3,21,9,4,5,Não,Não,0
4061,24,309.79,1316.19,40461.23,33.18,30.16,7,4,4,13,23,5,6,Não,Não,0
4706,54,304.05,1137.12,15441.23,93.35,31.85,1,6,4,29,19,1,11,Não,Não,0
3781,33,346.97,233.76,37938.7,165.35,33.12,1,5,6,14,22,0,2,Não,Não,1
2302,47,279.52,1643.18,13034.9,21.17,29.61,6,9,5,44,8,11,19,Não,Não,0
11135,44,470.49,86.55,45457.04,90.94,37.0,0,3,4,30,14,2,4,Sim,Não,0
9276,59,521.67,1342.78,94546.58,134.2,30.33,2,2,7,22,9,4,7,Não,Não,0
3704,44,313.94,811.19,30340.1,134.2,29.74,0,0,3,21,3,2,11,Não,Não,0
7229,40,108.29,1291.41,97302.28,693.26,33.11,4,4,3,29,15,3,10,Sim,Não,1
10176,40,396.78,953.75,25663.45,10000.0,33.06,0,2,3,11,2,4,6,Não,Não,0
11925,28,504.16,2357.03,75912.95,243.81,39.88,2,7,7,17,13,7,32,Não,Não,0
3423,25,289.32,2225.58,24320.15,101.51,39.81,2,7,9,19,16,4,31,Não,Não,0
7943,60,1016.49,375.52,106982.41,73.93,40.5,0,0,4,9,11,0,12,Não,Não,1
4148,21,446.49,2069.01,54250.79,91.7,35.19,2,6,6,14,15,10,31,Sim,Não,0
12488,38,440.46,1245.01,50628.71,141.1,34.52,1,2,3,1,10,2,7,Não,Não,1
1965,38,534.5,1020.01,80524.43,127.57,39.66,4,5,6,7,21,2,19,Não,Não,0
519,26,251.24,1295.2,139113.55,915.64,37.82,2,4,3,15,1,0,10,Não,Não,0
11393,18,255.3,1475.3,63186.33,229.33,23.79,6,5,6,30,8,4,10,Não,Não,0
10774,21,591.63,1389.48,149789.09,121.12,37.78,7,4,4,7,22,5,6,Não,Não,0
7443,47,392.98,473.86,41860.28,121.72,26.93,0,7,6,23,15,4,18,Sim,Não,0
6110,29,870.25,928.99,98502.61,113.63,38.26,0,3,7,25,12,3,3,Sim,Não,1
5776,44,1148.87,1198.23,161433.07,210.56,30.55,2,3,6,22,3,3,3,Não,Não,0
12049,38,321.37,16.45,35799.07,131.28,30.13,4,7,3,26,17,0,14,Sim,Não,0
3018,46,239.01,578.31,26033.18,145.22,31.55,4,4,6,15,10,2,9,Sim,Não,0
2021,38,323.8,703.21,24202.14,54.77,40.08,5,6,6,21,8,5,11,Não,Não,0
5866,49,468.51,1100.84,92388.95,202.81,31.65,4,7,6,26,15,4,6,Não,Não,0
3061,28,157.03,3825.77,24875.76,10000.0,31.5,9,6,6,55,14,11,23,Não,Não,0
2436,58,786.06,201.35,82525.43,104.49,38.77,0,5,6,20,9,1,6,Não,Não,0
10214,34,291.25,4415.47,13187.13,56.36,25.87,6,8,7,54,25,12,19,Não,Não,0
5728,29,337.17,1216.94,121763.04,1217.02,27.92,3,5,6,18,14,4,15,Não,Não,0
1238,54,314.34,1015.74,156676.06,896.7,25.6,3,2,7,1,2,1,6,Sim,Não,0
9800,39,347.94,1528.09,71354.2,180.39,25.25,5,8,6,25,22,12,33,Não,Não,0
4078,31,246.84,1439.6,39687.07,180.94,23.98,3,4,4,13,3,4,5,Não,Não,1
1040,35,240.66,743.2,23185.28,140.59,30.71,4,6,3,23,11,6,9,Não,Sim,0
3680,55,390.11,623.42,44727.69,61.1,40.25,4,1,3,3,9,1,3,Não,Não,1
3464,33,1187.16,909.23,151495.99,281.16,39.97,0,3,7,16,9,0,11,Não,Não,0
3786,33,592.77,2487.17,77565.47,145.23,28.78,2,6,10,27,18,7,27,Sim,Não,0
11522,41,290.47,2298.18,22541.46,87.98,37.51,5,9,6,63,19,10,22,Não,Não,0
4340,46,687.22,163.32,76961.73,103.23,41.28,0,6,6,14,18,1,3,Sim,Não,0
8147,49,223.55,1231.39,28946.7,168.47,23.33,4,5,3,6,8,3,13,Não,Não,0
12283,36,595.82,388.99,172763.28,816.28,31.24,3,5,4,10,1,0,1,Não,Não,0
9751,25,283.06,3266.57,23161.22,36.52,35.82,8,8,8,38,18,12,15,Sim,Não,0
3352,35,829.83,182.91,114229.49,368.04,36.79,0,8,6,23,18,2,9,Sim,Não,0
7768,50,163.93,3651.35,26330.02,126.49,22.84,9,6,6,41,18,10,20,Sim,Não,0
9837,38,405.17,378.16,55988.67,148.06,24.87,3,8,6,13,13,7,6,Sim,Não,0
4481,34,321.99,1052.74,22273.29,50.2,39.25,0,4,7,13,16,2,16,Sim,Não,0
10665,24,385.33,4094.73,83411.7,69.6,37.05,7,9,8,48,20,8,21,Não,Não,0
8344,18,400.04,2028.14,52885.2,73.09,25.78,6,7,9,38,17,7,22,Sim,Não,0
12096,23,377.11,2150.59,58360.87,140.55,38.93,7,7,7,55,20,8,28,Não,Não,0
397,35,371.85,2770.15,54492.46,86.0,34.4,8,8,10,27,16,7,17,Não,Não,0
748,22,305.71,3724.85,4788675.36,59.35,34.35,6,7,7,60,21,11,26,Sim,Não,0
291,22,95.68,80.5,104084.67,727.98,37.11,4,5,7,19,14,4,6,Não,Não,0
7781,61,337.17,328.19,90720.3,833.54,24.95,3,0,6,6,9,3,10,Não,Não,0
812,43,373.45,518.69,39373.38,76.71,41.34,3,8,5,10,13,4,14,Não,Não,0
7636,24,198.28,2456.24,20755.71,158.83,29.04,6,7,5,27,19,8,22,Não,Não,0
2702,19,229.84,4525.41,52936.46,249.9,25.24,8,7,7,25,28,9,17,Não,Não,0
8204,29,303.39,1285.01,20908.94,48.4,25.2,3,0,4,14,10,1,1,Não,Não,0
11106,39,263.73,1367.83,18312.44,90.28,35.0,4,3,5,16,17,2,12,Não,Não,1
12271,48,488.12,645.33,16086018.72,58.14,29.89,1,0,3,18,5,3,3,Não,Não,0
2239,35,358.26,2319.8,54744.97,53.79,36.19,7,6,6,8,6,7,20,Sim,Não,0
8537,55,325.63,349.84,42852.45,174.08,35.09,3,6,6,27,12,2,15,Não,Não,0
5961,57,365.67,1188.44,33436.17,106.14,26.04,1,4,4,28,10,4,19,Sim,Não,0
5503,25,723.05,1072.83,94541.97,205.85,36.53,0,5,7,8,9,3,5,Não,Não,0
3116,52,471.95,819.48,43535.96,83.42,40.36,0,3,4,19,8,2,5,Não,Não,0
1845,25,245.98,3652.25,45039.42,168.12,33.68,7,9,9,44,24,12,24,Sim,Não,0
10126,38,488.28,3420.99,65748.1,10000.0,34.63,6,6,8,59,21,6,33,Não,Sim,0
12017,44,716.76,1040.93,127271.76,134.2,29.87,4,8,5,29,14,8,17,Não,Não,0
3885,42,286.99,2193.11,11696.86,51.58,32.87,3,6,5,55,25,11,34,Não,Não,0
6832,40,273.71,2558.29,13366.65,49.72,30.39,6,7,9,31,25,6,18,Sim,Não,0
2860,33,173.4,4573.36,25345.57,198.26,35.37,5,7,8,51,21,12,18,Não,Não,0
10971,34,367.4,298.88,33533.66,133.24,26.91,0,5,5,6,19,2,7,Não,Não,0
9476,46,280.49,1294.45,11458.15,67.15,39.7,5,6,5,36,15,7,15,Não,Não,0
8508,49,250.34,4738.05,28138.9,57.05,36.93,9,9,9,62,14,7,27,Não,Não,0
4449,32,415.35,1204.07,51208.77,173.45,38.94,2,3,3,24,13,0,13,Sim,Não,0
8288,28,547.2,1085.23,74730.96,149.82,25.99,2,0,6,13,4,2,12,Não,Não,0
9248,40,230.01,2639.72,20756.9,154.99,30.55,5,8,10,41,17,11,20,Não,Não,0
9902,59,404.43,414.12,27415.11,42.98,35.01,0,7,5,29,14,3,4,Não,Não,1
6391,25,304.89,2622.84,12842.28,32.2,25.27,7,6,5,37,12,9,30,Não,Não,0
3890,32,201.73,2538.06,26805.19,184.17,24.02,5,6,10,57,24,8,17,Não,Não,0
219,45,379.18,2530.66,56489.42,250.42,38.68,2,7,5,15,9,6,24,Não,Não,0
4191,60,298.39,166.49,28957.71,111.03,25.35,3,1,5,9,5,3,3,Não,Não,1
5124,33,301.5,940.83,39206.44,154.32,34.07,2,0,4,2,6,4,6,Sim,Não,1
3028,45,74.46,1450.16,68838.92,495.09,31.83,8,9,5,32,14,12,17,Não,Não,0
5901,48,373.63,2000.96,44623.07,86.14,37.85,4,8,10,43,15,11,18,Não,Não,0
3617,22,896.09,1117.3,124014.52,309.28,29.28,0,3,3,9,7,2,11,Sim,Não,0
8625,56,287.72,1104.42,19704.97,79.37,40.07,3,3,6,23,17,2,6,Não,Sim,0
10193,61,783.7,344.46,97905.6,10000.0,42.29,0,5,4,28,2,2,5,Não,Não,0
8729,43,288.99,4603.45,23910.31,81.83,36.95,7,6,9,28,22,10,18,Não,Não,0
3308,27,701.31,826.98,129578.42,366.25,35.55,3,3,6,15,16,1,15,Não,Não,0
8905,55,356.92,1421.82,40799.11,115.83,33.71,4,2,2,10,9,2,4,Não,Não,1
201,57,347.22,1048.26,17663.51,69.26,26.78,1,8,7,7,14,2,8,Não,Não,1
4116,46,246.45,2065.27,14643.63,59.57,35.71,6,7,8,64,18,12,29,Sim,Não,0
1956,45,291.68,189.28,41865.52,92.51,31.09,7,6,6,27,18,8,6,Não,Não,0
1471,31,542.23,1444.26,81553.99,166.85,29.39,3,4,4,33,15,2,17,Não,Não,0
10150,33,112.91,689.88,78925.82,539.08,31.14,6,4,5,6,12,7,17,Não,Não,0
4979,35,369.71,1346.55,41423.23,61.72,34.95,3,4,5,10,14,4,15,Não,Não,0
7022,22,445.1,24.75,42036.74,69.15,28.31,2,4,4,20,11,4,19,Não,Não,0
1936,33,277.4,4962.25,23220.0,40.97,32.7,8,10,7,54,14,8,24,Sim,Não,0
1635,49,337.17,462.96,133079.68,1325.69,28.99,2,0,3,7,9,2,8,Não,Sim,0
3493,39,495.68,2636.54,73871.54,134.2,34.31,2,10,6,32,14,6,25,Não,Não,0
11554,36,394.32,104.98,42518.87,104.03,29.29,2,4,2,10,1,3,5,Não,Não,1
4085,27,267.99,3791.88,25087.25,39.31,25.65,8,10,5,24,17,7,18,Não,Não,0
10318,36,198.98,284.34,44263.38,319.17,31.07,3,4,3,5,11,3,1,Sim,Não,1
8142,24,610.8,109.76,85740.17,109.32,30.25,4,3,7,6,16,4,6,Não,Não,0
3280,20,280.72,769.81,116071.15,527.53,32.27,6,8,4,27,11,7,16,Não,Não,0
6609,23,460.1,1004.26,47953.8,112.62,38.94,2,7,7,20,9,4,19,Não,Não,0
5939,48,45.62,2574.54,41991.27,234.06,23.45,9,7,7,52,23,12,22,Sim,Não,0
8289,28,243.35,2360.06,21866.79,134.2,35.36,4,7,6,61,18,11,30,Não,Não,0
2125,54,838.09,410.48,101718.79,194.29,36.03,0,2,4,7,0,2,6,Não,Não,1
742,19,245.74,1765.67,10534.52,0.0,31.36,5,4,6,29,12,6,20,Não,Não,0
10986,24,597.86,1349.87,79547.34,122.04,30.59,2,4,7,22,18,1,14,Não,Não,0
1370,36,287.61,4265.64,10726.61,18.81,27.37,7,10,8,49,24,11,25,Não,Não,0
4120,28,86.25,911.08,79985.37,709.66,39.91,1,3,2,15,11,0,12,Não,Não,1
7511,49,432.2,1081.77,80016.17,354.26,27.59,2,4,6,9,16,6,9,Não,Não,0
8766,48,188.34,1693.51,50079.69,339.21,37.6,5,8,10,20,16,8,33,Sim,Não,0
5266,45,836.34,1074.05,161930.91,662.03,29.79,1,1,5,19,8,1,7,Não,Não,0
10443,20,215.58,432.76,34338.81,156.83,30.8,7,7,7,22,19,4,19,Não,Não,0
1003,38,332.36,2867.66,20064.07,50.67,27.88,6,8,9,57,25,8,30,Não,Não,0
5936,26,299.7,29.81,17910.68,67.07,32.23,3,5,3,25,18,7,18,Não,Não,0
8656,30,1182.01,463.57,165983.64,164.13,44.97,4,4,3,13,9,4,3,Sim,Não,1
6498,29,256.87,1489.73,52105.36,155.97,24.64,7,7,6,34,19,11,15,Não,Não,0
12113,23,312.32,2850.2,28101.99,38.34,37.25,7,10,10,24,23,11,34,Não,Não,0
3387,28,287.92,1478.07,31779.53,184.43,34.41,1,3,7,30,15,0,7,Não,Não,0
8291,59,961.43,832.14,128381.43,185.55,33.8,2,5,3,3,3,1,7,Sim,Não,1
5397,34,223.68,2410.07,22632.88,159.23,40.21,6,8,6,31,14,9,26,Não,Não,0
9976,46,642.13,1297.59,77048.56,81.76,39.14,1,3,5,7,6,3,5,Não,Não,1
6917,50,241.82,2089.89,42132.26,179.14,29.26,4,6,6,5,11,5,14,Não,Não,0
4741,53,433.62,106.9,43399.32,116.57,32.78,1,1,3,11,4,1,9,Não,Não,0
5921,33,363.86,412.53,30680.36,72.24,35.16,2,6,5,21,8,3,19,Não,Não,0
5468,58,398.18,1475.99,52980.98,108.37,34.36,3,5,5,5,3,0,5,Não,Não,0
12154,48,540.36,797.53,80282.84,112.42,30.47,6,7,5,13,11,4,18,Sim,Não,0
12016,34,595.89,1074.81,96616.6,146.54,38.7,4,3,6,10,4,1,10,Não,Não,1
5675,29,314.67,4335.7,12210.77,29.36,39.05,5,9,10,39,17,9,19,Não,Não,0
9130,29,523.93,519.66,79485.32,190.51,39.72,4,1,3,11,11,1,8,Não,Não,0
6674,22,430.31,260.98,56632.07,143.21,29.28,1,8,3,23,14,6,11,Não,Não,0
4773,59,374.53,140.6,51207.06,131.8,40.01,3,4,3,10,11,1,18,Sim,Não,0
9698,57,546.81,996.96,148655.28,698.96,30.38,2,8,6,15,15,0,3,Sim,Não,1
9605,26,431.6,634.84,41789.17,73.68,41.33,0,0,6,3,4,4,5,Não,Não,0
2151,30,876.8,929.64,136140.38,187.65,27.68,4,4,3,9,12,3,1,Não,Não,0
11205,34,378.86,419.05,50766.94,71.79,25.93,4,3,1,6,6,3,5,Não,Não,1
1740,30,244.81,1286.9,19463.47,85.29,34.88,7,6,7,60,22,12,32,Sim,Não,0
11248,30,605.39,387.9,63451.13,91.15,33.46,0,6,7,10,18,2,18,Não,Não,0
9703,24,267.08,2614.92,15562.58,54.6,27.23,5,9,7,58,14,11,16,Não,Não,0
7670,49,313.2,1843.38,79522.0,213.94,29.23,5,10,8,21,18,6,24,Não,Não,0
7884,36,365.05,756.94,77630.16,343.48,38.67,3,6,6,30,18,4,8,Não,Não,0
7922,20,241.74,2489.37,24431.0,155.07,23.92,2,9,8,60,16,10,18,Não,Sim,0
1497,50,293.52,2612.33,41750.18,27.31,35.08,8,6,6,60,18,7,30,Não,Não,0
312,24,338.86,1352.88,26694.19,39.6,24.61,8,7,5,51,24,9,32,Não,Não,0
2240,43,274.01,972.53,23888.43,101.52,25.59,3,7,3,6,14,7,7,Não,Não,0
11801,33,844.89,630.37,120509.66,230.06,36.57,2,5,3,13,6,3,9,Não,Não,1
8084,18,271.48,2850.96,26420.37,109.29,27.41,5,7,7,34,15,9,33,Sim,Não,0
4644,47,162.94,646.98,52378.32,379.86,28.52,3,0,5,1,6,4,3,Não,Sim,1
11263,19,160.51,2803.61,28213.68,218.39,27.71,5,10,9,43,20,12,20,Sim,Não,0
2453,58,757.62,500.47,84393.09,115.22,36.49,0,6,5,21,16,1,1,Sim,Não,1
2597,50,357.84,1413.64,36116.81,39.39,41.11,4,8,6,27,13,1,9,Não,Não,0
10486,53,70.72,353.01,113551.0,908.37,32.98,4,2,5,7,3,2,12,Não,Não,0
435,33,319.0,1050.18,21295.43,79.38,32.55,4,3,3,14,8,4,20,Sim,Não,0
9667,36,871.78,1187.02,94994.47,70.71,28.89,0,3,6,11,9,3,5,Não,Não,0
12140,38,495.85,52.98,71570.59,134.2,30.81,3,6,3,9,19,0,17,Não,Não,0
2630,60,827.62,954.65,135964.47,295.53,35.0,3,1,4,14,11,2,6,Não,Não,1
136,30,265.96,1403.17,20283.55,75.21,31.8,6,7,4,23,12,5,14,Não,Não,0
9490,43,310.34,328.81,31108.77,90.15,24.66,4,6,6,5,19,0,7,Sim,Não,1
6194,60,343.68,151.29,5670540.1,74.64,34.77,3,1,3,13,10,4,1,Não,Não,0
10387,31,1075.11,923.5,149739.36,354.0,44.43,0,5,6,9,14,2,4,Não,Não,0
48,34,333.29,680.77,96983.84,10000.0,35.13,2,2,6,2,14,0,8,Não,Não,1
84,41,406.66,668.14,139972.43,834.14,36.59,2,8,5,9,16,3,15,Não,Não,0
8062,43,259.9,3814.48,14149.29,10000.0,22.91,9,8,9,56,16,7,19,Sim,Não,0
7472,35,288.58,689.18,18724.31,91.19,26.28,0,5,3,4,9,8,13,Sim,Não,0
3459,47,208.27,3584.13,42081.44,178.55,22.17,6,7,7,35,15,8,25,Não,Não,0
3132,41,620.88,1247.9,74559.22,57.48,31.24,4,5,6,28,12,8,11,Não,Não,0
4210,38,264.73,4230.04,12043.91,40.72,26.28,8,10,5,48,14,6,32,Não,Não,0
2381,36,232.37,773.73,53410.05,267.56,24.64,5,8,4,14,18,8,17,Sim,Não,0
8542,33,329.82,2630.87,55590.22,134.2,34.41,6,8,9,26,18,10,21,Sim,Não,0
1951,29,242.81,4987.19,28145.64,10000.0,34.52,5,6,6,36,22,7,34,Não,Não,0
7799,31,276.59,1143.31,22795.58,150.39,24.86,1,7,3,19,20,3,11,Não,Não,1
361,41,281.47,2031.89,24956.63,46.94,29.29,4,10,6,54,24,8,26,Não,Sim,0
8137,36,397.94,1857.21,69260.32,98.81,22.94,6,7,6,35,23,12,16,Não,Não,0
11703,18,281.37,2029.21,42944.21,10000.0,33.04,4,9,6,27,14,9,31,Não,Não,0
8461,42,448.94,281.26,144445.72,746.66,25.67,3,0,7,11,5,1,7,Não,Não,1
5033,31,892.11,37.71,123778.33,134.2,36.62,0,5,3,8,13,4,18,Sim,Não,0
5182,41,395.45,1611.31,68935.94,153.57,31.21,4,10,6,46,19,9,26,Não,Não,0
8996,18,337.17,1825.83,75522.83,604.64,23.19,6,9,9,22,21,4,32,Sim,Não,0
9188,50,306.65,315.1,32265.91,174.47,27.48,1,4,3,5,20,2,11,Não,Não,0
6779,39,1083.03,1122.62,160888.85,357.92,35.11,2,5,5,12,6,2,10,Não,Não,1
10810,42,294.63,69.03,24208.58,131.79,36.81,0,1,5,5,4,2,8,Não,Não,0
8669,42,120.0,951.46,43049.65,386.55,28.71,4,3,7,7,14,5,18,Não,Não,0
625,23,250.67,3343.32,86201.17,287.14,35.17,7,6,6,32,16,6,23,Sim,Não,0
8644,31,1113.41,670.43,142717.17,309.76,34.64,0,4,4,14,12,4,6,Não,Não,1
4082,40,153.64,2064.68,46946.24,10000.0,39.71,2,3,3,5,8,6,24,Sim,Não,0
8824,33,246.39,2469.37,27673.67,118.68,38.18,8,7,7,41,22,6,32,Não,Não,0
3828,45,411.01,608.79,61327.62,102.6,36.23,4,5,7,18,15,3,9,Sim,Não,0
5158,26,141.34,4857.4,93397.64,479.7,37.86,5,7,5,52,21,9,18,Não,Não,0
10011,25,496.55,3520.62,91182.71,172.9,23.5,6,7,6,30,17,12,28,Não,Não,0
3462,44,313.04,459.49,14202.85,44.02,27.6,3,4,3,16,12,4,11,Não,Não,1
8512,24,299.31,51.5,42845.27,103.65,29.08,7,5,7,12,19,6,17,Não,Não,0
114,35,315.83,1743.83,67560.02,262.84,30.3,6,10,6,31,17,4,23,Sim,Não,0
